mileage,make,model,fuel,gear,offerType,price,hp,year,encoded_make,encoded_model,encoded_fuel,encoded_gear,encoded_offerType,encoded_year
2047,Mazda,CX-3,Gasoline,Automatic,Demonstration,21690,121.0,2021,47,215,7,0,0,10
99,Renault,ZOE,Electric,Automatic,Pre-registered,21780,136.0,2021,61,817,3,0,3,10
100,Ford,Puma,Gasoline,Automatic,Pre-registered,22484,125.0,2021,29,579,7,0,3,10
100,Ford,Puma,Gasoline,Automatic,Pre-registered,22484,125.0,2021,29,579,7,0,3,10
50,Opel,Combo,Gasoline,Manual,Pre-registered,22977,110.0,2021,54,244,7,1,3,10
50,Opel,Combo,Gasoline,Manual,Pre-registered,22977,110.0,2021,54,244,7,1,3,10
177,Mazda,3,Gasoline,Automatic,Demonstration,23390,122.0,2021,47,26,7,0,0,10
100,Ford,Puma,Gasoline,Automatic,Pre-registered,23393,125.0,2021,29,579,7,0,3,10
10,Ford,EcoSport,Gasoline,Manual,Pre-registered,23600,125.0,2021,29,317,7,1,3,10
10,Ford,Fiesta,Gasoline,Automatic,Pre-registered,23650,125.0,2021,29,334,7,0,3,10
3,Peugeot,208,Electric,Automatic,Demonstration,23680,136.0,2021,56,16,3,0,0,10
100,Opel,Mokka,Gasoline,Automatic,Pre-registered,23977,131.0,2021,54,517,7,0,3,10
100,Opel,Mokka,Gasoline,Automatic,Pre-registered,23977,131.0,2021,54,517,7,0,3,10
50,Opel,Combo,Gasoline,Automatic,Pre-registered,23977,131.0,2021,54,244,7,0,3,10
9,Hyundai,i30,Gasoline,Manual,Pre-registered,20490,159.0,2021,31,832,7,1,3,10
100,Renault,Clio,Gasoline,Manual,Pre-registered,20780,91.0,2021,61,241,7,1,3,10
1877,Opel,Corsa,Gasoline,Automatic,Used,20850,131.0,2021,54,274,7,0,4,10
4,Citroen,Berlingo,Gasoline,Manual,Used,20970,110.0,2021,16,159,7,1,4,10
8,Kia,Ceed SW / cee'd SW,Gasoline,Manual,Pre-registered,20990,160.0,2021,37,231,7,1,3,10
9000,Volkswagen,T-Cross,Gasoline,Manual,Demonstration,20990,95.0,2021,72,700,7,1,0,10
500,Hyundai,i20,Gasoline,Automatic,Demonstration,20995,101.0,2021,31,830,7,0,0,10
2500,Renault,Captur,Gasoline,Manual,Demonstration,21780,91.0,2021,61,224,7,1,0,10
100,Peugeot,208,Gasoline,Automatic,Used,21890,131.0,2021,56,16,7,0,4,10
10,Hyundai,i30,Gasoline,Automatic,Pre-registered,21990,120.0,2021,31,832,7,0,3,10
12,Opel,Insignia,Diesel,Automatic,Pre-registered,21990,122.0,2021,54,434,2,0,3,10
300,Hyundai,i20,Gasoline,Automatic,Demonstration,21995,120.0,2021,31,830,7,0,0,10
3,Jeep,Renegade,Gasoline,Automatic,Pre-registered,22490,150.0,2021,36,616,7,0,3,10
